entity_name,category_code,category_description,url,description,date_added,source,notes
Searchie,INDS,Industry,https://searchie.me/,A talent acquisition platform that provides employers with suitable employee candidates using artificial intelligence & manual screening.,2021-05-27,JOSA,
Fero.Ai,INDS,Industry,https://fero.ai/,"A platform that aims to automate,unify, and facilitate freight transactions globally.",2021-05-27,JOSA,
AlgoDriven,INDS,Industry,https://www.algodriven.xyz/,AlgoDriven helps dealers and finance/insurance companies to accurately identify and price used cars using AI.,2021-05-27,JOSA,
Accubits,INDS,Industry,https://accubits.com/,"A full-service software provider offering product development and digital transformation services to governments, tech startups,and other businesses, with specialization in AI solutions.",2021-05-27,JOSA,
Derq,INDS,Industry,http://en.derq.com/,"A predictive platform that helps to eliminate crashes, save lives, and create safer and smarter roads using AI.",2021-05-27,JOSA,
CrowdAnalyzer,INDS,Industry,https://www.crowdanalyzer.com/,"A set of tools for brands, SMEs, and individuals to search, monitor, analyze, and monitor social media powered by AI (NLP).",2021-05-27,JOSA,
IQ Data,INDS,Industry,https://www.iqdata.ai/,A data management platform that provides a comprehensive understanding of relationships between people and places using AI.,2021-05-27,JOSA,
Seez,INDS,Industry,https://seez.co/,A mobile app that offers an AI-powered search engine for online car listings for car shoppers.,2021-05-27,JOSA,
Votek,INDS,Industry,http://votek.me/,Votek is a software company specialized in developing high-tech solutions based on automatic Arabic speech recognition.,2021-05-27,JOSA,
JetClass,INDS,Industry,https://www.jetclass.com/en/,"A platform enabling passengers to book seats on private jets for prices competing with business class tickets, leveraging AI for recommendations.",2021-05-27,JOSA,
Training Calendar,INDS,Industry,https://www.trainingcalendar.com/,A platform for skill development and career progression powered by artificial intelligence.,2021-05-27,JOSA,
Group 42,INDS,Industry,https://g42.ai/,A company providing development and deployment holistic and scalable AI solutions.,2021-05-27,JOSA,
BulkWhiz,INDS,Industry,https://beta.bulkwhiz.com/,"An online bulk grocery shopping in UAE, powered by AI for recommendations.",2021-05-27,JOSA,
Up Your Game,INDS,Industry,https://up-ai.com/,A realtime employee performance assessment solution based on sentiment analysis.,2021-05-27,JOSA,
Modistabox,INDS,Industry,https://www.new.modistabox.com/,"A fashion social e-commerce platform offering a personal styling service to customers, using AI for recommendations.",2021-05-27,JOSA,
AI Trader,INDS,Industry,http://www.aitrader.ai/,An AI-powered app capable of reviewing and making trading decisions autonomously based on real-time market information.,2021-05-27,JOSA,
Prognica Labs,INDS,Industry,http://www.prognica.com/,A smart screening solution for early detection of breast cancer using artificial intelligence and machine learning.,2021-05-27,JOSA,
Virtual i Technologies,INDS,Industry,https://www.virtualitechnologies.com/,A risk engineering and data analytics firm that help the insurance companies to assess risks using AI.,2021-05-27,JOSA,
Zettaflow,INDS,Industry,https://zettaflow.tech/,A comprehensive Data Analytics Environment to give useful insights.,2021-05-27,JOSA,
Safe Driving Network,INDS,Industry,http://safedrivingnetwork.com/,"Safe Driving Network detects the driver's behavior in real-time to prevent collisions, evaluate and coach the drivers.",2021-05-27,JOSA,
OneFactor,INDS,Industry,https://onefactor.com/,An AI Service Delivery Platform that helps data owners to launch AI-based services as a new revenue stream.,2021-05-27,JOSA,
REIDIN.com,INDS,Industry,https://www.reidin.com/,A platform that provides insights about real estate in developing economies.,2021-05-27,JOSA,
Play.ht,INDS,Industry,https://play.ht/,An AI-based tool to create a realistic voice-over audio using plain text.,2021-05-27,JOSA,
Lableb,INDS,Industry,https://lableb.com/,An AI-based search engine that deals with the nature of Arabic content online to produce helpful results for users.,2021-05-27,JOSA,
Pacific Controls,INDS,Industry,https://pacificcontrols.net/,"A development company that helps entities to help fully leverage smart connected devices, machines, employing AI for best results.",2021-05-27,JOSA,
WhizKey,INDS,Industry,https://whizkey.ae/,An AI development company that builds on-premise and highly customized AI-based products with data privacy at the core.,2021-05-27,JOSA,
Distichain,INDS,Industry,http://distichain.com/,"A global inventory trade platform on credit without the need for trust by third parties, using Blockchain and AI.",2021-05-27,JOSA,
Audace Labs,INDS,Industry,http://audacelabs.com/,A product that offers effective AI solutions to help our client’s business be agile & smart.,2021-05-27,JOSA,
Saal,INDS,Industry,https://saal.ai/,"A company that provides businesses with solutions for challenging real-life problems, leveraging the power of AI.",2021-05-27,JOSA,
Stalion.ai,INDS,Industry,https://stallion.ai,A group of AI and business experts that work to revolutionize the future of enterprises in public and private sectors with AI and machine learning technologies.,2021-05-27,JOSA,
