@@ -2,32 +2,32 @@ entity_name;category_code;category_description;url;description;date_added;source
Higher National School of Engineering of Tunis (Part of University of Tunis);ACDM;Academic (education and research);http://www.ensit.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Heterogeneous Advanced Networking and Applications research Laboratory HANA [LR14ES04];ACDM;Academic (education and research);http://www.ensi-uma.tn/laboratoire-hana/;Created in 2014 it is a Research Laboratory located at Ecole Nationale des Sciences de l’Informatique University of Manouba;06/08/2021;MoHESR;
National School of Advanced Science and Technology in Borj Cédria (Part of University of Carthage);ACDM;Academic (education and research);http://www.enstab.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Laboratory of Intelligent Networks and Nanotechnology LARINA [LR16ES08];ACDM;Academic (education and research);http://www.enstab.rnu.tn/about-us-copy-3-copy/;Created in 2016 it is a Research Laboratory located at Ecole Nationale des Sciences et Technologies Avancées à Borj Cédria University of Carthage;06/08/2021;MoHESR;
Tunisia Polytechnic School (Part of University of Carthage);ACDM;Academic (education and research);http://www.ept.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Laboratory of Advanced Systems LSA [LR11ES27];ACDM;Academic (education and research);http://www.ept.rnu.tn/laboratoires/laboratoire-des-systemes-avances/;Created in 2011 it is a Research Laboratory located at Ecole Polytechnique de Tunis University of Carthage;06/08/2021;MoHESR;
Electronic Systems and Communication Networks Laboratory SERCom [LR13ES09];ACDM;Academic (education and research);http://www.ept.rnu.tn/laboratoires/sercom-laboratoire-systemes-electroniques-et-reseaux-de-communications/;Created in 2013 it is a Research Laboratory located at Ecole Polytechnique de Tunis University of Carthage;06/08/2021;MoHESR;
Business School of Sfax (Part of University of Sfax);ACDM;Academic (education and research);http://www.escs.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher School of Statistics and Data Analysis (Part of University of Carthage);ACDM;Academic (education and research);http://www.essai.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher School of Economic and Commercial Sciences of Tunis (Part of University of Tunis);ACDM;Academic (education and research);http://www.essect.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher School of Sciences and Technology of Hammam Sousse (Part of University of Sousse);ACDM;Academic (education and research);http://www.essths.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Faculty of Sciences of Bizerte (Part of University of Carthage);ACDM;Academic (education and research);http://www.fsb.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Faculty of Economic Sciences and Management of Mahdia (Part of University of Monastir);ACDM;Academic (education and research);http://www.fsegma.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Faculty of Economic Sciences and Management of Nabeul (Part of University of Carthage);ACDM;Academic (education and research);http://www.fsegn.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Faculty of Economic Sciences and Management of Sfax (Part of University of Sfax);ACDM;Academic (education and research);http://www.fsegs.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Faculty of Economic Sciences and Management of Tunis (Part of University of Tunis El Manar);ACDM;Academic (education and research);http://www.fsegt.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Faculty of Sciences of Gabes (Part of University of Gabes);ACDM;Academic (education and research);http://www.fsg.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Faculty of Sciences of Gafsa (Part of University of Carthage);ACDM;Academic (education and research);http://www.fsgf.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Faculty of Juridical Sciences Economic Sciences and Management of Jendouba (Part of University of Jendouba);ACDM;Academic (education and research);http://www.fsjegj.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Faculty of Sciences of Monastir (Part of University of Monastir);ACDM;Academic (education and research);http://www.fsm.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Faculty of Sciences of Sfax (Part of University of Sfax);ACDM;Academic (education and research);http://www.fss.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Data Engineering and Semantics DES;ACDM;Academic (education and research);http://www.fss.rnu.tn/fra/pages/819/DataEngineeringSemantics-Identification-de-la-structure-de-recherche;Created in 2021 it is a Research Unit located at Faculté des Sciences de Sfax University of Sfax;06/08/2021;MoHESR;
Faculty of Sciences of Tunis (Part of University of Tunis El Manar);ACDM;Academic (education and research);http://www.fst.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Faculty of Sciences and Technics Sidi Bouzid (Part of University of Kairouan);ACDM;Academic (education and research);http://www.fstsbz.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Carthage High Commercial Studies Institute (Part of University of Carthage);ACDM;Academic (education and research);http://www.ihec.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
National Institute of Applied Science and Technology (Part of University of Carthage);ACDM;Academic (education and research);http://www.insat.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Research Laboratory on Informatics for Industrial Systems LISI [LR11ES26];ACDM;Academic (education and research);http://www.insat.rnu.tn/Fr/laboratoires-et-unites-de-recherche_11_7;Created in 2011 it is a Research Laboratory located at Institut National des Sciences Appliquées et des Technologies University of Carthage;06/08/2021;MoHESR;
Higher Institute of Multimedia Arts of Manouba (Part of University of Manouba);ACDM;Academic (education and research);http://www.isa2m.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Business Administration of Sfax (Part of University of Sfax);ACDM;Academic (education and research);http://www.isaas.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Business Administration of Gafsa (Part of University of Carthage);ACDM;Academic (education and research);http://www.isaeg.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Biotechnology of Sfax (Part of University of Sfax);ACDM;Academic (education and research);http://www.isbs.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Documentation (Part of University of Manouba);ACDM;Academic (education and research);http://www.isd.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Information Science Laboratory SILAB [LR18ES14];ACDM;Academic (education and research);http://www.isd.rnu.tn/laboratoire-recherche;Created in 2018 it is a Research Laboratory located at Institut Supérieur de Documentation University of Manouba;06/08/2021;MoHESR;
Higher Institute of Technological Studies of Bizerte (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetbz.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Charguia (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetch.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Gafsa (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetgf.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Jendouba (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetj.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Djerba (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetjb.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Kebili (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetke.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Kef (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetkf.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Kelibia (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetkl.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Kairouan (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetkr.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Kasserine (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetks.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Mahdia (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetma.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Medenine (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetmd.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Nabeul (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetn.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Rades (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetr.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Innovation Systems and Technologies Research Unit ISET [UR16ES16];ACDM;Academic (education and research);http://www.isetr.rnu.tn/urisetr/;Created in 2016 it is a Research Unit located at Institut Supérieur des Etudes Technologiques de Rades Administration of Technological Studies;06/08/2021;MoHESR;
Higher Institute of Technological Studies of Sidi Bouzid (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetsbz.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Sfax (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetsf.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Siliana (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetsl.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Sousse (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetso.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Tozeur (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isett.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Tataouine (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetta.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Technological Studies of Zaghouan (Part of Administration of Technological Studies);ACDM;Academic (education and research);http://www.isetzg.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Management of Tunis (Part of University of Tunis);ACDM;Academic (education and research);http://www.isg.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Management of Bizerte (Part of University of Carthage);ACDM;Academic (education and research);http://www.isgbz.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Management of Gabes (Part of University of Gabes);ACDM;Academic (education and research);http://www.isggb.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Industrial Management of Sfax (Part of University of Sfax);ACDM;Academic (education and research);http://www.isgis.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Management of Sousse (Part of University of Sousse);ACDM;Academic (education and research);http://www.isgs.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Computer Science (Part of University of Tunis El Manar);ACDM;Academic (education and research);http://www.isi.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Computer Science and Management of Kairouan (Part of University of Kairouan);ACDM;Academic (education and research);http://www.isigk.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Computer Science of Kef (Part of University of Jendouba);ACDM;Academic (education and research);http://www.isikef.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Computer Science of Medenine (Part of University of Gabes);ACDM;Academic (education and research);http://www.isim.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Computer Science of Mahdia (Part of University of Monastir);ACDM;Academic (education and research);http://www.isima.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Computer Science and Multimedia of Gabes (Part of University of Gabes);ACDM;Academic (education and research);http://www.isimg.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Computer Science and Mathematics of Monastir (Part of University of Monastir);ACDM;Academic (education and research);http://www.isimm.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Computer Science and Multimedia of Sfax (Part of University of Sfax);ACDM;Academic (education and research);http://www.isimsf.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Computer Science and Communication Technologies of Hammam Sousse (Part of University of Sousse);ACDM;Academic (education and research);http://www.isitcom.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Research Laboratory of the Center on Informatics PRINCE [LR16ES12];ACDM;Academic (education and research);http://www.isitcom.rnu.tn/fra/pages/388/Laboratoire-PRINCE;Created in 2016 it is a Research Laboratory located at Institut Supérieur d’Informatique et des Technologies de Communication de Hammam Sousse University of Sousse;06/08/2021;MoHESR;
Modeling of Automated Reasoning Systems MARS [LR17ES05];ACDM;Academic (education and research);http://www.isitcom.rnu.tn/fra/pages/389/Laboratoire-MARS;Created in 2017 it is a Research Laboratory located at Institut Supérieur d’Informatique et des Technologies de Communication de Hammam Sousse University of Sousse;06/08/2021;MoHESR;
Higher Institute of Applied Languages and Computer Science of Beja (Part of University of Jendouba);ACDM;Academic (education and research);http://www.islaib.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Applied Languages and Computer Science of Nabeul (Part of University of Carthage);ACDM;Academic (education and research);http://www.isln.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Applied Mathematics and Computer Science of Kairouan (Part of University of Kairouan);ACDM;Academic (education and research);http://www.ismaik.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Applied Sciences and Technology of Gabes (Part of University of Gabes);ACDM;Academic (education and research);http://www.issatgb.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Applied Sciences and Technology of Gafsa (Part of University of Carthage);ACDM;Academic (education and research);http://www.issatgf.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Applied Sciences and Technology of Kasserine (Part of University of Kairouan);ACDM;Academic (education and research);http://www.issatkas.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Applied Sciences and Technology of Kairouan (Part of University of Kairouan);ACDM;Academic (education and research);http://www.issatkr.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Applied Sciences and Technology of Mateur (Part of University of Carthage);ACDM;Academic (education and research);http://www.issatm.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Applied Sciences and Technology of Mahdia (Part of University of Monastir);ACDM;Academic (education and research);http://www.issatmh.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Applied Sciences and Technology of Sousse (Part of University of Sousse);ACDM;Academic (education and research);http://www.issatso.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Higher Institute of Information and Communication Technologies of Borj Cedria (Part of University of Carthage);ACDM;Academic (education and research);http://www.istic.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Advanced Technologies for Medecine and Signal ATMS [LR17ES10];ACDM;Academic (education and research);http://www.lab-atms.com/;Created in 2017 it is a Research Laboratory located at Ecole Nationale d'Ingénieurs de Sfax University of Sfax;06/08/2021;MoHESR;
Laboratory of Technologies of Information and Communication and Electrical Engineering LaTICE [LR11ES04];ACDM;Academic (education and research);http://www.latice.rnu.tn/francais/presentation.htm;Created in 2011 it is a Research Laboratory located at Ecole Nationale Supérieure d'Ingénieurs de Tunis University of Tunis;06/08/2021;MoHESR;
Laboratory of Advanced Technology and Intelligent Systems LATIS [LR17ES04];ACDM;Academic (education and research);http://www.latis-eniso.org/;Created in 2017 it is a Research Laboratory located at Ecole Nationale d’Ingénieurs de Sousse University of Sousse;06/08/2021;MoHESR;
Multimedia InfoRmation Systems and Advanced Computing Laboratory MIR@CL [LR05ES13];ACDM;Academic (education and research);http://www.miracl.rnu.tn/;Created in 2005 it is a Research Laboratory located at Institut Supérieur d'Informatique et de Multimédia de Sfax University of Sfax;06/08/2021;MoHESR;
REsearch Groups in Intelligent Machines REGIM [LR11ES48];ACDM;Academic (education and research);http://www.regim.org/;Created in 2011 it is a Research Laboratory located at Ecole Nationale d'Ingénieurs de Sfax University of Sfax;06/08/2021;MoHESR;
Software Engineering Distributed Applications Decision Systems and Intelligent Imaging Research Laboratory RIADI?GDL [LR99ES26];ACDM;Academic (education and research);http://www.riadi.rnu.tn/;Created in 1999 it is a Research Laboratory located at Ecole Nationale des Sciences de l'Informatique University of Manouba;06/08/2021;MoHESR;
Laboratory of Electronics and Information Technologies LETI [LR99ES37];ACDM;Academic (education and research);http://www.services.enis.rnu.tn/content/enis00132.htm;Created in 1999 it is a Research Laboratory located at Ecole Nationale d'Ingénieurs de Sfax University of Sfax;06/08/2021;MoHESR;
Research Unit on Sciences of Electronics Technologies of Information and Telecommunications SETIT [UR14ES23];ACDM;Academic (education and research);http://www.setit.rnu.tn/;Created in 2014 it is a Research Unit located at Institut Supérieur de Biotechnologie de Sfax University of Sfax;06/08/2021;MoHESR;
Higher School of Communication of Tunis (Part of University of Carthage);ACDM;Academic (education and research);http://www.supcom.mincom.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Digital Security Research Lab DSRL [LR18TIC01];ACDM;Academic (education and research);http://www.supcom.mincom.tn/En/ru-digital-security_11_333;Created in 2018 it is a Research Laboratory located at Ecole Supérieure des Communications de Tunis  University of Carthage;06/08/2021;MoHESR;
Emergent Wireless and Optical Communication Systems GRES’COM [LR11TIC02];ACDM;Academic (education and research);http://www.supcom.mincom.tn/Fr/lr-grescom-systemes-de-communications-innovants-et-verts_11_326;Created in 2011 it is a Research Laboratory located at Ecole Supérieure des Communications de Tunis  University of Carthage;06/08/2021;MoHESR;
Laboratory in radio mobile networks and multimedia MEDIATRON [LR11TIC05];ACDM;Academic (education and research);http://www.supcom.mincom.tn/Fr/lr-mediatron-reseaux-mobiles-et-multimedia_11_332;Created in 2011 it is a Research Laboratory located at Ecole Supérieure des Communications de Tunis  University of Carthage;06/08/2021;MoHESR;
Signal and Systems Laboratory U2S [LR19ES18];ACDM;Academic (education and research);http://www.u2s.enit.rnu.tn/Index.htm;Created in 2019 it is a Research Laboratory located at Ecole nationale des ingénieurs de Tunis University of Tunis El Manar;06/08/2021;MoHESR;
Microelectronics and Instrumentation Laboratory LMI [LR13ES12];ACDM;Academic (education and research);http://www.um.rnu.tn/en/scientific-research/research-structures/research-laboratories/fsm-lr13es12-micro%C3%A9lectronique-et-instrumentation/;Created in 2013 it is a Research Laboratory located at Faculté des sciences de Monastir University of Monastir;06/08/2021;MoHESR;
Laboratory of Electronics and Microelectronics E?E [LR99ES30];ACDM;Academic (education and research);http://www.um.rnu.tn/fr/recherche-scientifique/structures/laboratoires-de-recherche/fsm-lr99es30-electronique-et-micro-%C3%A9lectronique/;Created in 1999 it is a Research Laboratory located at Faculté des Sciences de Monastir University of Monastir;06/08/2021;MoHESR;
Communication Systems Laboratory SYSCOM [LR99ES21];ACDM;Academic (education and research);http://www.utm.rnu.tn/visirech/Fr/utm/enit/lsc/;Created in 1999 it is a Research Laboratory located at Ecole Nationale d'Ingénieurs de Tunis University of Tunis El Manar;06/08/2021;MoHESR;
Optimization and Analysis of Industrial Systems and Services OASIS [LR19ES17];ACDM;Academic (education and research);http://www.utm.rnu.tn/visirech/Fr/utm/enit/oasis/;Created in 2019 it is a Research Laboratory located at Ecole nationale des ingénieurs de Tunis University of Tunis El Manar;06/08/2021;MoHESR;
Laboratory in Computer Science Algorithms Programming and Heuristics LIPAH [LR11ES14];ACDM;Academic (education and research);http://www.utm.rnu.tn/visirech/Fr/utm/fst/lipah/;Created in 2011 it is a Research Laboratory located at Faculté des Sciences de Tunis University of Tunis El Manar;06/08/2021;MoHESR;
AI School;ACDM;Academic (education and research);https://aiengineerschool.tn/;Certification centre for AI;27/05/2021;JOSA;
National Engineering School of Bizerte (Part of University of Carthage);ACDM;Academic (education and research);https://enib.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Innovation of COMmunicant and COoperative Mobiles Laboratory Innov’COM [LR11TIC03];ACDM;Academic (education and research);https://innovcom.org/index.php/home;Created in 2011 it is a Research Laboratory located at Ecole Supérieure des Communications de Tunis  University of Carthage;06/08/2021;MoHESR;
Higher Institute of Technological Studies of Beja (Part of Administration of Technological Studies);ACDM;Academic (education and research);https://isetbeja.wordpress.com/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
